fecha,sitio_web,ok_count,anomaly_count,failure_count,confirmed_count,measurement_count
2026-06-16,Biblioteca Digital / Vereda,2,0,0,0,2
2026-06-18,Biblioteca Digital / Vereda,2,0,0,0,2
2026-06-19,Biblioteca Digital / Vereda,2,0,0,0,2
2026-06-20,Biblioteca Digital / Vereda,2,0,0,0,2
2026-06-21,Biblioteca Digital / Vereda,2,0,0,0,2
2026-06-22,Biblioteca Digital / Vereda,2,0,0,0,2
2026-06-23,Biblioteca Digital / Vereda,2,0,0,0,2
2026-06-24,Biblioteca Digital / Vereda,2,0,0,0,2
2026-06-25,Biblioteca Digital / Vereda,2,0,0,0,2
2026-06-26,Biblioteca Digital / Vereda,2,0,0,0,2
2026-06-27,Biblioteca Digital / Vereda,2,0,0,0,2
2026-06-28,Biblioteca Digital / Vereda,2,0,0,0,2
2026-06-29,Biblioteca Digital / Vereda,2,0,0,0,2
2026-06-30,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-01,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-02,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-03,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-04,Biblioteca Digital / Vereda,1,0,0,0,1
2026-07-05,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-06,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-07,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-08,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-09,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-10,Biblioteca Digital / Vereda,1,0,0,0,1
2026-07-11,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-12,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-13,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-14,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-15,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-16,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-17,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-18,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-19,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-20,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-21,Biblioteca Digital / Vereda,2,0,0,0,2
2026-07-22,Biblioteca Digital / Vereda,2,0,0,0,2
