execution_id,timestamp,fecha,hora,franja,sonda_id,sonda_nombre,isp,asn_origen,ubicacion,tipo_sonda,ip_origen_observada,src_addr,dst_ip,sitio_web,msm_id,sent,rcvd,estado_ping,alcanzable_icmp,packet_loss_pct,rtt_exec_ms,rtt_avg_ripe_ms,rtt_min_ripe_ms,rtt_max_ripe_ms,n_rtt_validos
ping-180090804-1010206-1781748368-0,2026-06-17 22:06:08,2026-06-17,22:06:08,Nocturna (~22:00),1010206,AT&T (Miami),"AT&T Enterprises, LLC",AS7018,"Miami, Estados Unidos",Internacional,99.26.108.135,192.168.3.238,150.185.169.46,Sistema de Grados,180090804,3,0,Sin respuesta,False,100.0,,,,,0
ping-180090804-1010818-1781748187-1,2026-06-17 22:03:07,2026-06-17,22:03:07,Nocturna (~22:00),1010818,CANTV (Caracas),CANTV,AS8048,"Caracas, Venezuela",Nacional,190.205.214.78,192.168.100.13,150.185.169.46,Sistema de Grados,180090804,3,0,Sin respuesta,False,100.0,,,,,0
ping-180090804-1003784-1781748192-2,2026-06-17 22:03:12,2026-06-17,22:03:12,Nocturna (~22:00),1003784,Movistar (Maracay),Telefónica Venezolana,AS6306,"Maracay, Venezuela",Nacional,186.24.57.243,172.18.0.2,150.185.169.46,Sistema de Grados,180090804,3,0,Sin respuesta,False,100.0,,,,,0
ping-180090804-7594-1781748147-3,2026-06-17 22:02:27,2026-06-17,22:02:27,Nocturna (~22:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,200.82.230.154,150.185.169.46,Sistema de Grados,180090804,3,0,Sin respuesta,False,100.0,,,,,0
ping-180090804-6978-1781748138-4,2026-06-17 22:02:18,2026-06-17,22:02:18,Nocturna (~22:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,156.154.123.254,150.185.169.46,Sistema de Grados,180090804,3,0,Sin respuesta,False,100.0,,,,,0
ping-180090804-32877-1781748183-5,2026-06-17 22:03:03,2026-06-17,22:03:03,Nocturna (~22:00),32877,Airtek (Maracaibo),Airtek Solutions C.A.,AS61461,"Maracaibo, Venezuela",Nacional,38.25.177.234,192.168.1.186,150.185.169.46,Sistema de Grados,180090804,3,0,Sin respuesta,False,100.0,,,,,0
ping-180090804-1014400-1781748194-6,2026-06-17 22:03:14,2026-06-17,22:03:14,Nocturna (~22:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.153.16.65,192.168.122.242,150.185.169.46,Sistema de Grados,180090804,3,0,Sin respuesta,False,100.0,,,,,0
ping-180090804-1011292-1781748194-7,2026-06-17 22:03:14,2026-06-17,22:03:14,Nocturna (~22:00),1011292,Satnet (Quito),Satnet,AS14522,"Quito, Ecuador",Internacional,186.69.158.99,172.17.0.2,150.185.169.46,Sistema de Grados,180090804,3,0,Sin respuesta,False,100.0,,,,,0
ping-180090804-6978-1781661747-8,2026-06-16 22:02:27,2026-06-16,22:02:27,Nocturna (~22:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,156.154.123.254,150.185.169.46,Sistema de Grados,180090804,3,0,Sin respuesta,False,100.0,,,,,0
ping-180090804-6978-1781704937-9,2026-06-17 10:02:17,2026-06-17,10:02:17,Matutina (~10:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,156.154.123.254,150.185.169.46,Sistema de Grados,180090804,3,0,Sin respuesta,False,100.0,,,,,0
